<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FPT,D,20070118,000000,17950.0000,18910.0000,17950.0000,18910.0000,282430,0
FPT,D,20070119,000000,19830.0000,19830.0000,19830.0000,19830.0000,95290,0
FPT,D,20070122,000000,20790.0000,20790.0000,20590.0000,20590.0000,461630,0
FPT,D,20070123,000000,20590.0000,20660.0000,20590.0000,20660.0000,243990,0
FPT,D,20070124,000000,20660.0000,20660.0000,19900.0000,19900.0000,156420,0
FPT,D,20070125,000000,19900.0000,19900.0000,19900.0000,19900.0000,142420,0
FPT,D,20070126,000000,19560.0000,19900.0000,19560.0000,19900.0000,129240,0
FPT,D,20070129,000000,20070.0000,20760.0000,20070.0000,20760.0000,201310,0
FPT,D,20070130,000000,21620.0000,21620.0000,21620.0000,21620.0000,324420,0
FPT,D,20070131,000000,21890.0000,22130.0000,21890.0000,22130.0000,310330,0
FPT,D,20070201,000000,22200.0000,22200.0000,21270.0000,21270.0000,114910,0
FPT,D,20070202,000000,21620.0000,21620.0000,21620.0000,21620.0000,79470,0
FPT,D,20070205,000000,21270.0000,21270.0000,20550.0000,20550.0000,110440,0
FPT,D,20070206,000000,20250.0000,21450.0000,20250.0000,21450.0000,195540,0
FPT,D,20070207,000000,20790.0000,21790.0000,20790.0000,21790.0000,116470,0
FPT,D,20070208,000000,20730.0000,20730.0000,20730.0000,20730.0000,103880,0
FPT,D,20070209,000000,19700.0000,19700.0000,19700.0000,19700.0000,194380,0
FPT,D,20070212,000000,20660.0000,20660.0000,20660.0000,20660.0000,60490,0
FPT,D,20070213,000000,21690.0000,21690.0000,21620.0000,21620.0000,160600,0
FPT,D,20070214,000000,21270.0000,21270.0000,20930.0000,20930.0000,79810,0
FPT,D,20070215,000000,20930.0000,20930.0000,20930.0000,20930.0000,59720,0
FPT,D,20070226,000000,21960.0000,21960.0000,21960.0000,21960.0000,231310,0
FPT,D,20070227,000000,23060.0000,23060.0000,22820.0000,22820.0000,289680,0
FPT,D,20070228,000000,22820.0000,22820.0000,21690.0000,21690.0000,69560,0
FPT,D,20070301,000000,21620.0000,21620.0000,21100.0000,21100.0000,98850,0
FPT,D,20070302,000000,21510.0000,22130.0000,21510.0000,22130.0000,163420,0
FPT,D,20070305,000000,22130.0000,22130.0000,21790.0000,21790.0000,125170,0
FPT,D,20070306,000000,20780.0000,20780.0000,20740.0000,20740.0000,200880,0
FPT,D,20070307,000000,21470.0000,21470.0000,20950.0000,20950.0000,43980,0
FPT,D,20070308,000000,20780.0000,20780.0000,20610.0000,20610.0000,85390,0
FPT,D,20070309,000000,21290.0000,21290.0000,20610.0000,20610.0000,56050,0
FPT,D,20070312,000000,20950.0000,20950.0000,20950.0000,20950.0000,87310,0
FPT,D,20070313,000000,21020.0000,21020.0000,20950.0000,20950.0000,74620,0
FPT,D,20070314,000000,20780.0000,20780.0000,19920.0000,19920.0000,57450,0
FPT,D,20070315,000000,18920.0000,18920.0000,18920.0000,18920.0000,102590,0
FPT,D,20070316,000000,18920.0000,19850.0000,18920.0000,19850.0000,102100,0
FPT,D,20070319,000000,20610.0000,20610.0000,19850.0000,19850.0000,105730,0
FPT,D,20070320,000000,19580.0000,19580.0000,19300.0000,19300.0000,100430,0
FPT,D,20070321,000000,18340.0000,18380.0000,18340.0000,18380.0000,113940,0
FPT,D,20070322,000000,18550.0000,19060.0000,18550.0000,19060.0000,139830,0
FPT,D,20070323,000000,19060.0000,19060.0000,19060.0000,19060.0000,119530,0
FPT,D,20070326,000000,18550.0000,18550.0000,18550.0000,18550.0000,107630,0
FPT,D,20070327,000000,17690.0000,17690.0000,17620.0000,17620.0000,62970,0
FPT,D,20070328,000000,16760.0000,17620.0000,16760.0000,17620.0000,126200,0
FPT,D,20070329,000000,17620.0000,18480.0000,17620.0000,18480.0000,117350,0
FPT,D,20070330,000000,18820.0000,18820.0000,18580.0000,18580.0000,90460,0
FPT,D,20070402,000000,17650.0000,17860.0000,17650.0000,17860.0000,57570,0
FPT,D,20070403,000000,17170.0000,17170.0000,17170.0000,17170.0000,64900,0
FPT,D,20070404,000000,17170.0000,17650.0000,17170.0000,17650.0000,23700,0
FPT,D,20070405,000000,17650.0000,17690.0000,17650.0000,17690.0000,50520,0
FPT,D,20070406,000000,17280.0000,17520.0000,17280.0000,17520.0000,38880,0
FPT,D,20070409,000000,17520.0000,17690.0000,17520.0000,17690.0000,48570,0
FPT,D,20070410,000000,17690.0000,17890.0000,17690.0000,17890.0000,83330,0
FPT,D,20070411,000000,17890.0000,18030.0000,17890.0000,18030.0000,44950,0
FPT,D,20070412,000000,18480.0000,18550.0000,18480.0000,18550.0000,80100,0
FPT,D,20070413,000000,19230.0000,19230.0000,17860.0000,17860.0000,149170,0
FPT,D,20070416,000000,18310.0000,18310.0000,18030.0000,18030.0000,102080,0
FPT,D,20070417,000000,17860.0000,17860.0000,17690.0000,17690.0000,31000,0
FPT,D,20070418,000000,17860.0000,17860.0000,17860.0000,17860.0000,62980,0
FPT,D,20070419,000000,17860.0000,17860.0000,17340.0000,17340.0000,74850,0
FPT,D,20070420,000000,17000.0000,17000.0000,16490.0000,16490.0000,135750,0
FPT,D,20070423,000000,15800.0000,15800.0000,15660.0000,15660.0000,56560,0
FPT,D,20070424,000000,14910.0000,14910.0000,14910.0000,14910.0000,48470,0
FPT,D,20070425,000000,14180.0000,14600.0000,14180.0000,14600.0000,221550,0
FPT,D,20070502,000000,14800.0000,14870.0000,14800.0000,14870.0000,137200,0
FPT,D,20070503,000000,14910.0000,15180.0000,14910.0000,15180.0000,152480,0
FPT,D,20070504,000000,15940.0000,15940.0000,15940.0000,15940.0000,95960,0
FPT,D,20070507,000000,16730.0000,16730.0000,16730.0000,16730.0000,136260,0
FPT,D,20070508,000000,17170.0000,17170.0000,17170.0000,17170.0000,152010,0
