<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FPT,D,20110809,000000,6010.0000,6190.0000,5950.0000,5950.0000,424290,0
FPT,D,20110810,000000,6010.0000,6190.0000,6010.0000,6070.0000,488660,0
FPT,D,20110811,000000,6070.0000,6240.0000,6010.0000,6240.0000,316140,0
FPT,D,20110812,000000,6240.0000,6240.0000,6190.0000,6240.0000,154110,0
FPT,D,20110815,000000,6240.0000,6240.0000,6130.0000,6240.0000,206230,0
FPT,D,20110816,000000,6190.0000,6300.0000,6190.0000,6240.0000,94410,0
FPT,D,20110817,000000,6300.0000,6300.0000,6240.0000,6300.0000,127240,0
FPT,D,20110818,000000,6480.0000,6480.0000,6300.0000,6360.0000,81300,0
FPT,D,20110819,000000,6420.0000,6420.0000,6240.0000,6240.0000,65190,0
FPT,D,20110822,000000,6240.0000,6360.0000,6240.0000,6300.0000,161650,0
FPT,D,20110823,000000,6240.0000,6360.0000,6240.0000,6300.0000,170910,0
FPT,D,20110824,000000,6300.0000,6360.0000,6240.0000,6300.0000,166310,0
FPT,D,20110825,000000,6420.0000,6420.0000,6240.0000,6300.0000,94480,0
FPT,D,20110826,000000,6360.0000,6360.0000,6300.0000,6360.0000,140950,0
FPT,D,20110829,000000,6420.0000,6480.0000,6300.0000,6420.0000,113040,0
FPT,D,20110830,000000,6480.0000,6480.0000,6420.0000,6480.0000,284400,0
FPT,D,20110831,000000,6480.0000,6480.0000,6420.0000,6420.0000,516820,0
FPT,D,20110901,000000,6480.0000,6530.0000,6420.0000,6480.0000,242150,0
FPT,D,20110905,000000,6530.0000,6530.0000,6420.0000,6480.0000,179960,0
FPT,D,20110906,000000,6480.0000,6480.0000,6360.0000,6480.0000,189880,0
FPT,D,20110907,000000,6480.0000,6480.0000,6360.0000,6420.0000,214520,0
FPT,D,20110908,000000,6480.0000,6530.0000,6420.0000,6480.0000,173880,0
FPT,D,20110909,000000,6480.0000,6480.0000,6300.0000,6360.0000,305190,0
FPT,D,20110912,000000,6240.0000,6300.0000,6130.0000,6190.0000,255610,0
FPT,D,20110913,000000,6300.0000,6300.0000,6070.0000,6070.0000,848190,0
FPT,D,20110914,000000,6010.0000,6010.0000,5840.0000,5840.0000,600240,0
FPT,D,20110915,000000,6070.0000,6130.0000,6010.0000,6130.0000,1158780,0
FPT,D,20110916,000000,6130.0000,6420.0000,5950.0000,5950.0000,1394610,0
FPT,D,20110919,000000,5950.0000,6240.0000,5950.0000,6240.0000,330060,0
FPT,D,20110920,000000,6240.0000,6300.0000,6130.0000,6130.0000,539860,0
FPT,D,20110921,000000,6190.0000,6240.0000,6130.0000,6190.0000,521700,0
FPT,D,20110922,000000,6130.0000,6240.0000,6070.0000,6190.0000,242400,0
FPT,D,20110923,000000,6070.0000,6130.0000,6010.0000,6070.0000,156500,0
FPT,D,20110926,000000,6010.0000,6070.0000,5950.0000,5950.0000,293270,0
FPT,D,20110927,000000,6070.0000,6130.0000,6010.0000,6010.0000,297060,0
FPT,D,20110928,000000,6070.0000,6130.0000,6010.0000,6070.0000,122420,0
FPT,D,20110929,000000,6070.0000,6130.0000,6010.0000,6070.0000,171900,0
FPT,D,20110930,000000,6070.0000,6130.0000,6010.0000,6070.0000,302940,0
FPT,D,20111003,000000,6070.0000,6070.0000,6010.0000,6010.0000,175530,0
FPT,D,20111004,000000,5900.0000,6010.0000,5900.0000,6010.0000,183950,0
FPT,D,20111005,000000,6010.0000,6010.0000,5900.0000,5950.0000,617080,0
FPT,D,20111006,000000,5900.0000,5950.0000,5850.0000,5900.0000,543870,0
FPT,D,20111007,000000,5880.0000,5880.0000,5810.0000,5840.0000,334910,0
FPT,D,20111010,000000,5730.0000,5790.0000,5730.0000,5780.0000,241020,0
FPT,D,20111011,000000,5780.0000,5840.0000,5770.0000,5790.0000,148310,0
FPT,D,20111012,000000,5770.0000,5790.0000,5750.0000,5770.0000,223900,0
FPT,D,20111013,000000,5730.0000,5830.0000,5730.0000,5830.0000,182530,0
FPT,D,20111014,000000,5840.0000,5900.0000,5840.0000,5900.0000,157850,0
FPT,D,20111017,000000,5840.0000,5860.0000,5810.0000,5810.0000,305380,0
FPT,D,20111018,000000,5790.0000,5800.0000,5770.0000,5780.0000,158590,0
FPT,D,20111019,000000,5790.0000,5790.0000,5740.0000,5750.0000,278000,0
FPT,D,20111020,000000,5720.0000,5770.0000,5720.0000,5740.0000,185230,0
FPT,D,20111021,000000,5730.0000,5850.0000,5720.0000,5850.0000,438200,0
FPT,D,20111024,000000,5850.0000,5850.0000,5700.0000,5700.0000,221630,0
FPT,D,20111025,000000,5670.0000,5680.0000,5620.0000,5620.0000,242580,0
FPT,D,20111026,000000,5600.0000,5810.0000,5600.0000,5720.0000,275300,0
FPT,D,20111027,000000,5660.0000,5730.0000,5660.0000,5720.0000,241780,0
FPT,D,20111028,000000,5780.0000,5900.0000,5720.0000,5900.0000,295130,0
FPT,D,20111031,000000,6010.0000,6010.0000,5840.0000,5840.0000,409820,0
FPT,D,20111101,000000,5850.0000,5850.0000,5790.0000,5790.0000,174910,0
FPT,D,20111102,000000,5790.0000,5880.0000,5780.0000,5860.0000,310510,0
FPT,D,20111103,000000,5860.0000,5860.0000,5780.0000,5810.0000,235790,0
FPT,D,20111104,000000,5810.0000,5900.0000,5810.0000,5880.0000,359090,0
FPT,D,20111107,000000,5880.0000,5900.0000,5840.0000,5870.0000,302770,0
FPT,D,20111108,000000,5870.0000,5870.0000,5750.0000,5780.0000,107750,0
FPT,D,20111109,000000,5830.0000,5830.0000,5750.0000,5750.0000,112570,0
FPT,D,20111110,000000,5730.0000,5750.0000,5720.0000,5750.0000,172320,0
FPT,D,20111111,000000,5740.0000,5770.0000,5730.0000,5730.0000,225640,0
FPT,D,20111114,000000,5650.0000,5720.0000,5650.0000,5660.0000,119260,0
FPT,D,20111115,000000,5660.0000,5670.0000,5600.0000,5600.0000,273560,0
FPT,D,20111116,000000,5580.0000,5660.0000,5580.0000,5660.0000,175510,0
FPT,D,20111117,000000,5660.0000,5680.0000,5620.0000,5680.0000,238160,0
FPT,D,20111118,000000,5720.0000,5720.0000,5640.0000,5680.0000,73630,0
FPT,D,20111121,000000,5650.0000,5680.0000,5650.0000,5680.0000,94000,0
FPT,D,20111122,000000,5670.0000,5750.0000,5660.0000,5730.0000,181280,0
FPT,D,20111123,000000,5700.0000,5790.0000,5700.0000,5790.0000,293890,0
FPT,D,20111124,000000,5700.0000,5800.0000,5700.0000,5790.0000,190630,0
FPT,D,20111125,000000,5740.0000,5790.0000,5740.0000,5780.0000,218740,0
FPT,D,20111128,000000,5770.0000,5780.0000,5750.0000,5750.0000,139210,0
FPT,D,20111129,000000,5780.0000,5780.0000,5740.0000,5750.0000,170570,0
FPT,D,20111130,000000,5750.0000,5800.0000,5750.0000,5790.0000,346600,0
FPT,D,20111201,000000,5720.0000,5800.0000,5720.0000,5800.0000,146480,0
FPT,D,20111202,000000,5800.0000,5860.0000,5790.0000,5810.0000,428220,0
FPT,D,20111205,000000,5830.0000,5900.0000,5810.0000,5900.0000,425860,0
FPT,D,20111206,000000,5950.0000,5950.0000,5850.0000,5900.0000,285080,0
FPT,D,20111207,000000,5900.0000,5950.0000,5870.0000,5900.0000,227000,0
FPT,D,20111208,000000,5900.0000,5950.0000,5870.0000,5870.0000,44930,0
FPT,D,20111209,000000,5950.0000,5950.0000,5840.0000,5840.0000,73460,0
FPT,D,20111212,000000,5800.0000,5860.0000,5800.0000,5840.0000,232810,0
FPT,D,20111213,000000,5800.0000,5850.0000,5800.0000,5830.0000,242460,0
FPT,D,20111214,000000,5800.0000,5830.0000,5780.0000,5780.0000,215210,0
FPT,D,20111215,000000,5730.0000,5770.0000,5720.0000,5730.0000,93070,0
FPT,D,20111216,000000,5680.0000,5840.0000,5680.0000,5780.0000,170350,0
FPT,D,20111219,000000,5780.0000,5840.0000,5780.0000,5840.0000,134470,0
FPT,D,20111220,000000,5660.0000,5850.0000,5660.0000,5840.0000,163100,0
FPT,D,20111221,000000,5840.0000,5850.0000,5810.0000,5840.0000,88790,0
FPT,D,20111222,000000,5840.0000,5860.0000,5780.0000,5840.0000,195010,0
FPT,D,20111223,000000,5730.0000,5780.0000,5730.0000,5780.0000,24820,0
FPT,D,20111226,000000,5800.0000,5800.0000,5720.0000,5770.0000,108960,0
FPT,D,20111227,000000,5770.0000,5770.0000,5720.0000,5730.0000,139750,0
FPT,D,20111228,000000,5750.0000,5750.0000,5710.0000,5740.0000,97800,0
FPT,D,20111229,000000,5780.0000,5840.0000,5680.0000,5840.0000,140960,0
FPT,D,20111230,000000,5880.0000,5880.0000,5780.0000,5860.0000,163170,0
FPT,D,20120103,000000,5600.0000,5830.0000,5600.0000,5800.0000,74810,0
FPT,D,20120104,000000,5810.0000,5810.0000,5790.0000,5800.0000,29710,0
FPT,D,20120105,000000,5700.0000,5770.0000,5670.0000,5680.0000,64890,0
FPT,D,20120106,000000,5720.0000,5730.0000,5700.0000,5730.0000,66090,0
FPT,D,20120109,000000,5730.0000,5750.0000,5680.0000,5750.0000,46080,0
FPT,D,20120110,000000,5720.0000,5840.0000,5720.0000,5840.0000,200350,0
FPT,D,20120111,000000,5840.0000,5850.0000,5780.0000,5840.0000,155570,0
FPT,D,20120112,000000,5750.0000,5840.0000,5750.0000,5790.0000,46310,0
FPT,D,20120113,000000,5780.0000,5900.0000,5780.0000,5900.0000,152630,0
FPT,D,20120116,000000,5900.0000,6070.0000,5900.0000,6010.0000,456650,0
FPT,D,20120117,000000,5950.0000,6010.0000,5840.0000,5840.0000,74440,0
FPT,D,20120118,000000,5950.0000,5950.0000,5840.0000,5840.0000,50280,0
FPT,D,20120119,000000,5950.0000,5950.0000,5840.0000,5860.0000,87760,0
FPT,D,20120120,000000,5880.0000,5880.0000,5840.0000,5860.0000,71050,0
FPT,D,20120130,000000,5900.0000,5900.0000,5860.0000,5900.0000,32540,0
FPT,D,20120131,000000,5900.0000,6010.0000,5860.0000,5860.0000,41940,0
FPT,D,20120201,000000,6010.0000,6010.0000,5870.0000,5950.0000,44510,0
FPT,D,20120202,000000,5900.0000,6010.0000,5900.0000,6010.0000,83390,0
FPT,D,20120203,000000,6010.0000,6010.0000,5950.0000,5950.0000,182230,0
FPT,D,20120206,000000,5950.0000,6010.0000,5900.0000,5950.0000,40770,0
FPT,D,20120207,000000,5950.0000,6010.0000,5900.0000,5950.0000,74910,0
FPT,D,20120208,000000,6010.0000,6070.0000,5950.0000,6070.0000,168150,0
FPT,D,20120209,000000,6070.0000,6130.0000,6010.0000,6130.0000,153780,0
FPT,D,20120210,000000,6130.0000,6130.0000,6070.0000,6070.0000,195060,0
FPT,D,20120213,000000,6130.0000,6130.0000,6010.0000,6010.0000,113870,0
FPT,D,20120214,000000,6010.0000,6070.0000,5950.0000,6010.0000,121790,0
FPT,D,20120215,000000,6070.0000,6070.0000,6010.0000,6010.0000,149520,0
FPT,D,20120216,000000,5950.0000,6130.0000,5950.0000,6070.0000,94590,0
FPT,D,20120217,000000,6010.0000,6130.0000,6010.0000,6130.0000,102740,0
FPT,D,20120220,000000,6130.0000,6370.0000,6130.0000,6370.0000,283860,0
FPT,D,20120221,000000,6370.0000,6430.0000,6310.0000,6370.0000,328510,0
FPT,D,20120222,000000,6430.0000,6490.0000,6370.0000,6430.0000,155470,0
FPT,D,20120223,000000,6370.0000,6490.0000,6370.0000,6430.0000,172180,0
FPT,D,20120224,000000,6540.0000,6540.0000,6430.0000,6430.0000,147980,0
FPT,D,20120227,000000,6370.0000,6490.0000,6370.0000,6490.0000,141080,0
FPT,D,20120228,000000,6370.0000,6490.0000,6370.0000,6430.0000,172050,0
FPT,D,20120229,000000,6430.0000,6490.0000,6370.0000,6490.0000,152530,0
FPT,D,20120301,000000,6490.0000,6490.0000,6430.0000,6490.0000,91140,0
FPT,D,20120302,000000,6430.0000,6540.0000,6430.0000,6540.0000,166410,0
FPT,D,20120305,000000,6600.0000,6840.0000,6600.0000,6840.0000,427300,0
FPT,D,20120306,000000,7070.0000,7070.0000,6600.0000,6600.0000,291610,0
FPT,D,20120307,000000,6600.0000,6780.0000,6540.0000,6780.0000,190770,0
FPT,D,20120308,000000,6720.0000,6780.0000,6540.0000,6660.0000,319980,0
FPT,D,20120309,000000,6600.0000,6780.0000,6600.0000,6660.0000,188640,0
FPT,D,20120312,000000,6600.0000,6660.0000,6600.0000,6660.0000,152560,0
FPT,D,20120313,000000,6660.0000,6720.0000,6660.0000,6720.0000,103290,0
FPT,D,20120314,000000,6720.0000,6780.0000,6660.0000,6720.0000,136140,0
FPT,D,20120315,000000,6720.0000,6960.0000,6720.0000,6960.0000,431230,0
FPT,D,20120316,000000,7020.0000,7070.0000,6960.0000,6960.0000,287960,0
FPT,D,20120319,000000,6840.0000,6960.0000,6780.0000,6960.0000,91380,0
FPT,D,20120320,000000,6960.0000,6960.0000,6900.0000,6900.0000,94310,0
FPT,D,20120321,000000,6900.0000,6960.0000,6840.0000,6900.0000,145260,0
FPT,D,20120322,000000,6900.0000,6900.0000,6780.0000,6780.0000,90050,0
FPT,D,20120323,000000,6840.0000,6840.0000,6780.0000,6840.0000,71320,0
FPT,D,20120326,000000,6840.0000,6840.0000,6780.0000,6840.0000,112360,0
FPT,D,20120327,000000,6720.0000,6840.0000,6720.0000,6780.0000,185140,0
FPT,D,20120328,000000,6660.0000,6840.0000,6660.0000,6840.0000,227840,0
FPT,D,20120329,000000,6840.0000,6900.0000,6780.0000,6840.0000,188180,0
FPT,D,20120330,000000,6900.0000,6960.0000,6780.0000,6840.0000,227480,0
FPT,D,20120403,000000,6840.0000,6900.0000,6840.0000,6840.0000,77770,0
FPT,D,20120404,000000,6900.0000,6960.0000,6840.0000,6840.0000,229600,0
FPT,D,20120405,000000,6900.0000,7130.0000,6840.0000,7020.0000,522960,0
FPT,D,20120406,000000,7070.0000,7070.0000,7020.0000,7020.0000,46820,0
FPT,D,20120409,000000,7130.0000,7130.0000,7020.0000,7070.0000,86600,0
FPT,D,20120410,000000,7130.0000,7130.0000,7020.0000,7070.0000,97870,0
FPT,D,20120411,000000,7130.0000,7370.0000,7070.0000,7370.0000,401940,0
FPT,D,20120412,000000,7430.0000,7490.0000,7370.0000,7430.0000,181420,0
FPT,D,20120413,000000,7430.0000,7430.0000,7190.0000,7190.0000,129430,0
FPT,D,20120416,000000,7310.0000,7430.0000,7250.0000,7310.0000,128380,0
FPT,D,20120417,000000,7430.0000,7430.0000,7250.0000,7370.0000,123760,0
FPT,D,20120418,000000,7430.0000,7430.0000,7310.0000,7310.0000,113720,0
FPT,D,20120419,000000,7310.0000,7370.0000,7020.0000,7020.0000,301330,0
FPT,D,20120420,000000,7070.0000,7250.0000,6960.0000,6960.0000,240320,0
FPT,D,20120423,000000,7020.0000,7190.0000,6900.0000,6900.0000,139090,0
FPT,D,20120424,000000,7020.0000,7070.0000,6960.0000,7070.0000,81550,0
FPT,D,20120425,000000,7250.0000,7250.0000,7070.0000,7130.0000,79440,0
FPT,D,20120426,000000,7250.0000,7250.0000,7020.0000,7020.0000,180500,0
FPT,D,20120427,000000,7070.0000,7130.0000,7020.0000,7020.0000,108790,0
FPT,D,20120502,000000,7310.0000,7310.0000,7250.0000,7310.0000,425310,0
FPT,D,20120503,000000,7660.0000,7660.0000,7550.0000,7660.0000,550510,0
FPT,D,20120504,000000,7660.0000,7840.0000,7660.0000,7780.0000,388650,0
FPT,D,20120507,000000,7840.0000,7900.0000,7720.0000,7900.0000,284350,0
FPT,D,20120508,000000,7900.0000,7960.0000,7780.0000,7840.0000,311770,0
FPT,D,20120509,000000,7780.0000,7840.0000,7720.0000,7780.0000,264470,0
FPT,D,20120510,000000,7840.0000,7840.0000,7720.0000,7720.0000,290000,0
FPT,D,20120511,000000,7840.0000,7840.0000,7610.0000,7610.0000,284390,0
FPT,D,20120514,000000,7660.0000,7720.0000,7550.0000,7550.0000,213220,0
FPT,D,20120515,000000,7790.0000,7790.0000,7400.0000,7410.0000,350530,0
FPT,D,20120516,000000,7470.0000,7490.0000,7380.0000,7380.0000,110580,0
FPT,D,20120517,000000,7410.0000,7490.0000,7410.0000,7460.0000,160230,0
FPT,D,20120518,000000,7460.0000,7460.0000,7190.0000,7260.0000,264100,0
FPT,D,20120521,000000,7490.0000,7560.0000,7340.0000,7560.0000,167520,0
FPT,D,20120522,000000,7640.0000,7640.0000,7440.0000,7460.0000,89520,0
FPT,D,20120523,000000,7410.0000,7460.0000,7260.0000,7310.0000,127830,0
FPT,D,20120524,000000,7310.0000,7340.0000,7280.0000,7280.0000,99980,0
FPT,D,20120525,000000,7430.0000,7430.0000,7340.0000,7430.0000,103830,0
FPT,D,20120528,000000,7410.0000,7490.0000,7410.0000,7430.0000,124200,0
FPT,D,20120529,000000,7410.0000,7430.0000,7370.0000,7410.0000,64910,0
FPT,D,20120530,000000,7490.0000,7490.0000,7380.0000,7430.0000,65430,0
FPT,D,20120531,000000,7380.0000,7410.0000,7380.0000,7400.0000,140030,0
FPT,D,20120601,000000,7400.0000,7410.0000,7380.0000,7380.0000,38050,0
FPT,D,20120604,000000,7380.0000,7380.0000,7340.0000,7340.0000,99040,0
FPT,D,20120605,000000,7290.0000,7350.0000,7290.0000,7340.0000,146830,0
FPT,D,20120606,000000,7400.0000,7400.0000,7320.0000,7380.0000,53290,0
FPT,D,20120607,000000,7430.0000,7430.0000,7380.0000,7380.0000,32200,0
FPT,D,20120608,000000,7410.0000,7490.0000,7340.0000,7340.0000,82110,0
FPT,D,20120611,000000,7400.0000,7400.0000,7290.0000,7350.0000,41690,0
FPT,D,20120612,000000,7350.0000,7370.0000,7320.0000,7340.0000,85420,0
FPT,D,20120613,000000,7370.0000,7370.0000,7320.0000,7340.0000,71920,0
FPT,D,20120614,000000,7370.0000,7370.0000,7290.0000,7310.0000,70750,0
FPT,D,20120615,000000,7350.0000,7350.0000,7310.0000,7320.0000,108970,0
FPT,D,20120618,000000,7430.0000,7430.0000,7320.0000,7350.0000,34490,0
FPT,D,20120619,000000,7340.0000,7370.0000,7320.0000,7350.0000,103760,0
FPT,D,20120620,000000,7410.0000,7410.0000,7350.0000,7380.0000,89720,0
FPT,D,20120621,000000,7370.0000,7380.0000,7340.0000,7370.0000,50360,0
FPT,D,20120622,000000,7350.0000,7370.0000,7340.0000,7340.0000,67350,0
FPT,D,20120625,000000,7320.0000,7380.0000,7320.0000,7340.0000,42840,0
FPT,D,20120626,000000,7280.0000,7310.0000,7280.0000,7280.0000,31110,0
FPT,D,20120627,000000,7340.0000,7340.0000,7280.0000,7280.0000,73780,0
FPT,D,20120628,000000,7290.0000,7290.0000,7050.0000,7050.0000,36470,0
FPT,D,20120629,000000,7110.0000,7170.0000,7050.0000,7050.0000,4970,0
FPT,D,20120702,000000,7140.0000,7250.0000,7040.0000,7050.0000,131390,0
FPT,D,20120703,000000,7160.0000,7160.0000,7040.0000,7040.0000,12120,0
FPT,D,20120704,000000,7110.0000,7110.0000,7040.0000,7070.0000,18440,0
FPT,D,20120705,000000,7110.0000,7130.0000,7070.0000,7110.0000,35790,0
FPT,D,20120706,000000,7160.0000,7160.0000,7110.0000,7110.0000,26770,0
FPT,D,20120709,000000,6960.0000,7110.0000,6960.0000,7050.0000,14410,0
FPT,D,20120710,000000,7040.0000,7070.0000,7040.0000,7040.0000,27540,0
FPT,D,20120711,000000,7040.0000,7050.0000,7010.0000,7050.0000,40600,0
FPT,D,20120712,000000,7040.0000,7050.0000,7040.0000,7050.0000,20870,0
FPT,D,20120713,000000,7070.0000,7190.0000,7040.0000,7160.0000,30930,0
FPT,D,20120716,000000,7230.0000,7230.0000,7070.0000,7080.0000,23050,0
FPT,D,20120717,000000,7070.0000,7080.0000,7040.0000,7080.0000,38870,0
FPT,D,20120718,000000,7100.0000,7100.0000,7040.0000,7050.0000,54300,0
FPT,D,20120719,000000,7040.0000,7070.0000,7010.0000,7070.0000,62810,0
FPT,D,20120720,000000,7140.0000,7170.0000,7050.0000,7050.0000,83160,0
FPT,D,20120723,000000,7050.0000,7050.0000,7020.0000,7050.0000,61190,0
FPT,D,20120724,000000,7050.0000,7400.0000,7050.0000,7370.0000,297120,0
FPT,D,20120725,000000,7340.0000,7340.0000,7110.0000,7110.0000,178060,0
FPT,D,20120726,000000,7070.0000,7160.0000,7070.0000,7160.0000,88280,0
FPT,D,20120727,000000,7220.0000,7220.0000,7160.0000,7190.0000,116650,0
FPT,D,20120730,000000,7190.0000,7340.0000,7190.0000,7290.0000,188880,0
FPT,D,20120731,000000,7110.0000,7190.0000,7110.0000,7130.0000,142000,0
FPT,D,20120801,000000,7080.0000,7110.0000,7050.0000,7070.0000,134550,0
FPT,D,20120802,000000,7040.0000,7130.0000,7040.0000,7070.0000,89910,0
FPT,D,20120803,000000,7040.0000,7080.0000,7040.0000,7080.0000,159240,0
FPT,D,20120806,000000,7040.0000,7110.0000,7040.0000,7070.0000,148440,0
FPT,D,20120807,000000,7050.0000,7080.0000,7040.0000,7070.0000,144950,0
FPT,D,20120808,000000,7050.0000,7070.0000,7040.0000,7050.0000,71270,0
FPT,D,20120809,000000,7050.0000,7080.0000,6980.0000,7020.0000,324860,0
FPT,D,20120810,000000,7050.0000,7050.0000,6860.0000,6860.0000,461230,0
FPT,D,20120813,000000,7050.0000,7050.0000,6870.0000,6960.0000,155720,0
FPT,D,20120814,000000,6860.0000,7020.0000,6860.0000,6930.0000,223310,0
FPT,D,20120815,000000,6900.0000,6950.0000,6890.0000,6900.0000,398780,0
FPT,D,20120816,000000,6950.0000,7010.0000,6860.0000,6860.0000,324050,0
FPT,D,20120817,000000,6740.0000,6890.0000,6740.0000,6810.0000,219300,0
FPT,D,20120820,000000,6890.0000,6920.0000,6810.0000,6900.0000,87130,0
FPT,D,20120821,000000,6890.0000,6890.0000,6570.0000,6590.0000,424710,0
FPT,D,20120822,000000,6590.0000,6740.0000,6560.0000,6590.0000,175470,0
FPT,D,20120823,000000,6590.0000,6590.0000,6260.0000,6260.0000,306220,0
FPT,D,20120824,000000,5990.0000,6440.0000,5970.0000,6300.0000,166690,0
FPT,D,20120827,000000,6460.0000,6460.0000,6000.0000,6000.0000,327330,0
FPT,D,20120828,000000,6010.0000,6140.0000,5810.0000,5840.0000,387150,0
FPT,D,20120829,000000,5980.0000,5980.0000,5830.0000,5860.0000,516890,0
FPT,D,20120830,000000,5860.0000,5910.0000,5830.0000,5860.0000,556380,0
FPT,D,20120831,000000,5860.0000,6150.0000,5840.0000,6150.0000,490150,0
FPT,D,20120904,000000,6290.0000,6460.0000,6230.0000,6410.0000,196570,0
FPT,D,20120905,000000,6410.0000,6430.0000,6210.0000,6210.0000,172150,0
FPT,D,20120906,000000,6140.0000,6210.0000,6000.0000,6040.0000,146150,0
FPT,D,20120907,000000,6040.0000,6060.0000,5980.0000,6030.0000,105620,0
FPT,D,20120910,000000,6040.0000,6040.0000,5840.0000,5890.0000,94970,0
FPT,D,20120911,000000,5710.0000,5940.0000,5710.0000,5910.0000,91990,0
FPT,D,20120912,000000,5890.0000,6010.0000,5890.0000,5940.0000,55010,0
FPT,D,20120913,000000,5970.0000,5970.0000,5870.0000,5940.0000,142710,0
FPT,D,20120914,000000,6010.0000,6010.0000,5940.0000,5940.0000,143660,0
FPT,D,20120917,000000,5940.0000,5950.0000,5870.0000,5920.0000,98290,0
FPT,D,20120918,000000,5890.0000,5920.0000,5800.0000,5800.0000,168920,0
FPT,D,20120919,000000,5630.0000,5750.0000,5580.0000,5630.0000,486130,0
FPT,D,20120920,000000,5640.0000,5710.0000,5600.0000,5630.0000,138350,0
FPT,D,20120921,000000,5660.0000,5710.0000,5630.0000,5640.0000,49890,0
FPT,D,20120924,000000,5640.0000,5640.0000,5600.0000,5610.0000,104050,0
FPT,D,20120925,000000,5640.0000,5640.0000,5600.0000,5610.0000,126430,0
FPT,D,20120926,000000,5640.0000,5690.0000,5600.0000,5670.0000,129510,0
FPT,D,20120927,000000,5720.0000,5950.0000,5690.0000,5830.0000,254170,0
FPT,D,20120928,000000,5830.0000,5890.0000,5800.0000,5810.0000,94180,0
FPT,D,20121001,000000,5740.0000,5770.0000,5630.0000,5660.0000,74140,0
FPT,D,20121002,000000,5660.0000,5690.0000,5630.0000,5660.0000,110610,0
FPT,D,20121003,000000,5660.0000,5710.0000,5660.0000,5660.0000,65800,0
FPT,D,20121004,000000,5660.0000,5690.0000,5640.0000,5640.0000,93060,0
FPT,D,20121005,000000,5670.0000,5670.0000,5640.0000,5640.0000,46100,0
FPT,D,20121008,000000,5610.0000,5690.0000,5610.0000,5660.0000,64880,0
FPT,D,20121009,000000,5670.0000,5830.0000,5660.0000,5710.0000,143640,0
FPT,D,20121010,000000,5750.0000,5750.0000,5720.0000,5750.0000,42760,0
FPT,D,20121011,000000,5800.0000,5800.0000,5740.0000,5740.0000,160130,0
FPT,D,20121012,000000,5740.0000,5770.0000,5690.0000,5690.0000,45680,0
FPT,D,20121015,000000,5670.0000,5710.0000,5660.0000,5660.0000,63990,0
FPT,D,20121016,000000,5640.0000,5710.0000,5640.0000,5690.0000,67270,0
FPT,D,20121017,000000,5670.0000,5720.0000,5670.0000,5690.0000,26680,0
FPT,D,20121018,000000,5690.0000,5690.0000,5630.0000,5630.0000,60410,0
FPT,D,20121019,000000,5670.0000,5670.0000,5580.0000,5610.0000,60110,0
FPT,D,20121022,000000,5660.0000,5660.0000,5600.0000,5600.0000,57430,0
FPT,D,20121023,000000,5600.0000,5610.0000,5580.0000,5600.0000,76660,0
FPT,D,20121024,000000,5600.0000,5610.0000,5600.0000,5600.0000,81980,0
FPT,D,20121025,000000,5550.0000,5600.0000,5550.0000,5600.0000,61750,0
FPT,D,20121026,000000,5600.0000,5600.0000,5550.0000,5580.0000,31920,0
FPT,D,20121029,000000,5550.0000,5580.0000,5550.0000,5570.0000,47580,0
FPT,D,20121030,000000,5510.0000,5550.0000,5510.0000,5510.0000,94430,0
FPT,D,20121031,000000,5510.0000,5520.0000,5490.0000,5490.0000,91490,0
FPT,D,20121101,000000,5430.0000,5520.0000,5430.0000,5490.0000,70110,0
FPT,D,20121102,000000,5260.0000,5310.0000,5230.0000,5230.0000,96810,0
FPT,D,20121105,000000,5000.0000,5230.0000,4980.0000,5200.0000,97960,0
FPT,D,20121106,000000,5280.0000,5280.0000,5140.0000,5140.0000,44860,0
FPT,D,20121107,000000,5200.0000,5250.0000,5170.0000,5210.0000,44590,0
FPT,D,20121108,000000,5250.0000,5250.0000,5180.0000,5210.0000,36430,0
FPT,D,20121109,000000,5210.0000,5230.0000,5180.0000,5210.0000,23200,0
FPT,D,20121112,000000,5260.0000,5400.0000,5260.0000,5370.0000,99430,0
FPT,D,20121113,000000,5380.0000,5400.0000,5350.0000,5350.0000,31120,0
FPT,D,20121114,000000,5380.0000,5380.0000,5340.0000,5370.0000,31510,0
FPT,D,20121115,000000,5370.0000,5370.0000,5320.0000,5320.0000,45690,0
FPT,D,20121116,000000,5350.0000,5350.0000,5290.0000,5290.0000,17580,0
FPT,D,20121119,000000,5340.0000,5340.0000,5210.0000,5210.0000,32930,0
FPT,D,20121120,000000,5170.0000,5230.0000,5170.0000,5210.0000,22050,0
FPT,D,20121121,000000,5260.0000,5260.0000,5200.0000,5200.0000,20910,0
FPT,D,20121122,000000,5210.0000,5210.0000,5180.0000,5200.0000,39450,0
FPT,D,20121123,000000,5230.0000,5230.0000,5200.0000,5200.0000,31930,0
FPT,D,20121126,000000,5210.0000,5210.0000,5170.0000,5170.0000,38540,0
FPT,D,20121127,000000,5170.0000,5180.0000,5120.0000,5120.0000,49420,0
FPT,D,20121128,000000,5140.0000,5140.0000,5060.0000,5060.0000,44390,0
